TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PTS_OFF_TOV_ON,PTS_OFF_TOV_OFF,PTS_OFF_TOV_DIFF,PTS_2ND_CHANCE_ON,PTS_2ND_CHANCE_OFF,PTS_2ND_CHANCE_DIFF,PTS_FB_ON,PTS_FB_OFF,PTS_FB_DIFF,PTS_PAINT_ON,PTS_PAINT_OFF,PTS_PAINT_DIFF,OPP_PTS_OFF_TOV_ON,OPP_PTS_OFF_TOV_OFF,OPP_PTS_OFF_TOV_DIFF,OPP_PTS_2ND_CHANCE_ON,OPP_PTS_2ND_CHANCE_OFF,OPP_PTS_2ND_CHANCE_DIFF,OPP_PTS_FB_ON,OPP_PTS_FB_OFF,OPP_PTS_FB_DIFF,OPP_PTS_PAINT_ON,OPP_PTS_PAINT_OFF,OPP_PTS_PAINT_DIFF
Atlanta Hawks,"Babbitt, Luke",30.0,40,-10.0,6.0,10,-4.0,24.0,30,-6.0,0.2,0.25,-0.05,4.4,1.7,2.7,18.2,18.9,-0.7,12.2,13.0,-0.8,9.2,10.2,-1.0,39.3,41.9,-2.6,15.4,17.7,-2.3,11.5,15.0,-3.5,10.7,12.8,-2.1,42.0,46.4,-4.4
Atlanta Hawks,"Bazemore, Kent",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,2.0,2.9,-0.9,18.5,19.0,-0.5,11.3,15.0,-3.7,11.8,7.2,4.6,42.2,39.8,2.4,18.3,15.4,2.9,14.5,13.4,1.1,12.4,12.0,0.4,45.8,44.3,1.5
Atlanta Hawks,"Belinelli, Marco",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,2.4,2.4,0.0,19.4,18.1,1.3,13.0,12.6,0.4,8.1,11.7,-3.6,39.3,43.1,-3.8,17.1,17.1,0.0,14.0,14.0,0.0,12.4,12.1,0.3,45.3,45.2,0.1
Atlanta Hawks,"Bembry, DeAndre'",18.0,40,-22.0,5.0,10,-5.0,13.0,30,-17.0,0.278,0.25,0.028,7.8,1.4,6.4,18.5,18.7,-0.2,16.1,12.2,3.9,9.3,10.0,-0.7,39.8,41.5,-1.7,19.6,16.6,3.0,14.5,13.9,0.6,11.2,12.4,-1.2,43.9,45.5,-1.6
Atlanta Hawks,"Brussino, Nicolas",4.0,40,-36.0,0.0,10,-10.0,4.0,30,-26.0,0.0,0.25,-0.25,207.0,1.2,205.8,9.1,18.8,-9.7,9.1,12.8,-3.7,0.0,10.0,-10.0,36.6,41.2,-4.6,0.0,17.2,-17.2,0.0,14.1,-14.1,0.0,12.3,-12.3,27.4,45.3,-17.9
Atlanta Hawks,"Cavanaugh, Tyler",28.0,32,-4.0,8.0,9,-1.0,20.0,23,-3.0,0.286,0.281,0.005,5.7,2.1,3.6,18.2,19.0,-0.8,13.1,13.5,-0.4,9.3,10.8,-1.5,39.9,42.6,-2.7,13.8,18.5,-4.7,11.9,14.9,-3.0,10.6,12.9,-2.3,47.9,43.7,4.2
Atlanta Hawks,"Collins, John",34.0,40,-6.0,8.0,10,-2.0,26.0,30,-4.0,0.235,0.25,-0.015,3.1,2.0,1.1,20.6,17.5,3.1,15.4,11.1,4.3,10.5,9.5,1.0,44.0,39.4,4.6,17.2,17.1,0.1,14.9,13.4,1.5,13.3,11.5,1.8,45.4,45.1,0.3
Atlanta Hawks,"Dedmon, Dewayne",21.0,40,-19.0,4.0,10,-6.0,17.0,30,-13.0,0.19,0.25,-0.06,4.6,1.6,3.0,18.8,18.7,0.1,10.9,13.5,-2.6,9.0,10.3,-1.3,39.1,42.0,-2.9,17.5,16.9,0.6,13.6,14.2,-0.6,10.8,12.7,-1.9,43.1,46.0,-2.9
Atlanta Hawks,"Delaney, Malcolm",32.0,40,-8.0,6.0,10,-4.0,26.0,30,-4.0,0.188,0.25,-0.062,3.9,1.7,2.2,19.4,18.4,1.0,13.4,12.6,0.8,8.1,10.7,-2.6,38.2,42.6,-4.4,16.8,17.2,-0.4,15.2,13.5,1.7,10.9,12.8,-1.9,45.6,45.0,0.6
Atlanta Hawks,"Dorsey, Tyler",14.0,40,-26.0,1.0,10,-9.0,13.0,30,-17.0,0.071,0.25,-0.179,26.6,1.3,25.3,11.4,19.1,-7.7,16.8,12.6,4.2,10.8,9.9,0.9,30.3,41.7,-11.4,12.4,17.3,-4.9,7.0,14.4,-7.4,14.6,12.1,2.5,37.9,45.6,-7.7
Atlanta Hawks,"Ilyasova, Ersan",29.0,40,-11.0,9.0,10,-1.0,20.0,30,-10.0,0.31,0.25,0.06,3.2,1.9,1.3,19.3,18.4,0.9,12.2,13.2,-1.0,11.5,8.9,2.6,43.6,39.7,3.9,15.9,17.8,-1.9,16.4,12.6,3.8,13.6,11.3,2.3,46.9,44.2,2.7
Atlanta Hawks,"Magette, Josh",8.0,40,-32.0,2.0,10,-8.0,6.0,30,-24.0,0.25,0.25,0.0,38.4,1.2,37.2,12.4,18.9,-6.5,15.5,12.7,2.8,10.8,9.9,0.9,32.5,41.5,-9.0,8.5,17.4,-8.9,8.5,14.2,-5.7,1.5,12.6,-11.1,43.3,45.3,-2.0
Atlanta Hawks,"Muscala, Mike",12.0,40,-28.0,1.0,10,-9.0,11.0,30,-19.0,0.083,0.25,-0.167,9.4,1.4,8.0,14.8,19.2,-4.4,12.2,12.9,-0.7,6.9,10.3,-3.4,35.8,42.0,-6.2,19.1,16.8,2.3,11.6,14.4,-2.8,12.0,12.3,-0.3,41.5,45.7,-4.2
Atlanta Hawks,"Plumlee, Miles",21.0,40,-19.0,6.0,10,-4.0,15.0,30,-15.0,0.286,0.25,0.036,6.1,1.5,4.6,17.1,19.1,-2.0,13.8,12.6,1.2,9.9,9.9,0.0,38.9,41.8,-2.9,18.5,16.8,1.7,12.8,14.3,-1.5,13.8,11.8,2.0,45.7,45.1,0.6
Atlanta Hawks,"Prince, Taurean",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,1.9,3.4,-1.5,18.9,18.4,0.5,12.0,14.4,-2.4,10.3,9.1,1.2,44.4,35.3,9.1,18.3,14.8,3.5,14.7,12.8,1.9,12.9,11.0,1.9,46.0,43.8,2.2
Atlanta Hawks,"Schroder, Dennis",37.0,40,-3.0,10.0,10,0.0,27.0,30,-3.0,0.27,0.25,0.02,2.0,3.1,-1.1,19.3,17.7,1.6,12.8,12.9,-0.1,10.6,8.8,1.8,43.0,38.4,4.6,18.1,15.5,2.6,14.3,13.5,0.8,12.8,11.3,1.5,46.9,42.5,4.4
Atlanta Hawks,"Taylor, Isaiah",32.0,40,-8.0,8.0,10,-2.0,24.0,30,-6.0,0.25,0.25,0.0,4.8,1.6,3.2,17.9,19.0,-1.1,13.4,12.6,0.8,9.4,10.1,-0.7,39.9,41.7,-1.8,13.5,18.3,-4.8,13.1,14.3,-1.2,11.3,12.5,-1.2,42.0,46.3,-4.3
Boston Celtics,"Allen, Kadeem",3.0,43,-40.0,1.0,33,-32.0,2.0,10,-8.0,0.333,0.767,-0.434,277.4,1.2,276.2,23.3,14.8,8.5,17.4,11.4,6.0,11.6,10.1,1.5,58.1,40.3,17.8,0.0,14.9,-14.9,0.0,11.3,-11.3,17.4,9.2,8.2,11.6,42.2,-30.6
Boston Celtics,"Baynes, Aron",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,3.1,1.9,1.2,16.9,13.6,3.3,13.2,10.4,2.8,10.7,9.8,0.9,39.5,40.9,-1.4,13.0,15.9,-2.9,10.0,12.0,-2.0,7.8,10.2,-2.4,41.5,42.5,-1.0
Boston Celtics,"Bird, Jabari",4.0,43,-39.0,3.0,33,-30.0,1.0,10,-9.0,0.75,0.767,-0.017,117.5,1.2,116.3,22.9,14.8,8.1,13.7,11.4,2.3,4.6,10.2,-5.6,32.1,40.5,-8.4,11.4,14.9,-3.5,11.4,11.3,0.1,13.7,9.2,4.5,50.4,42.0,8.4
Boston Celtics,"Brown, Jaylen",38.0,43,-5.0,29.0,33,-4.0,9.0,10,-1.0,0.763,0.767,-0.004,2.0,2.8,-0.8,15.2,14.4,0.8,12.5,10.0,2.5,10.6,9.4,1.2,42.8,37.1,5.7,13.9,16.2,-2.3,11.2,11.4,-0.2,8.7,10.1,-1.4,41.9,42.4,-0.5
Boston Celtics,"Hayward, Gordon",1.0,43,-42.0,0.0,33,-33.0,1.0,10,-9.0,0.0,0.767,-0.767,364.6,1.2,363.4,33.3,14.8,18.5,16.7,11.4,5.3,16.7,10.1,6.6,66.7,40.3,26.4,16.7,14.8,1.9,16.7,11.3,5.4,16.7,9.3,7.4,16.7,42.2,-25.5
Boston Celtics,"Horford, Al",39.0,43,-4.0,29.0,33,-4.0,10.0,10,0.0,0.744,0.767,-0.023,1.9,3.0,-1.1,13.9,16.5,-2.6,10.0,13.8,-3.8,11.5,7.9,3.6,43.7,35.2,8.5,15.2,14.2,1.0,10.7,12.1,-1.4,9.9,8.4,1.5,40.7,44.3,-3.6
Boston Celtics,"Irving, Kyrie",41.0,43,-2.0,32.0,33,-1.0,9.0,10,-1.0,0.78,0.767,0.013,1.8,3.5,-1.7,15.5,13.7,1.8,11.1,12.1,-1.0,10.8,8.7,2.1,42.8,35.8,7.0,15.6,13.5,2.1,10.9,12.0,-1.1,9.8,8.3,1.5,42.3,41.8,0.5
Boston Celtics,"Larkin, Shane",31.0,43,-12.0,25.0,33,-8.0,6.0,10,-4.0,0.806,0.767,0.039,7.7,1.4,6.3,16.2,14.6,1.6,10.6,11.6,-1.0,8.5,10.4,-1.9,30.9,42.2,-11.3,11.7,15.4,-3.7,12.7,11.0,1.7,6.4,9.8,-3.4,42.3,42.1,0.2
Boston Celtics,"Morris, Marcus",21.0,43,-22.0,17.0,33,-16.0,4.0,10,-6.0,0.81,0.767,0.043,4.8,1.5,3.3,11.8,15.8,-4.0,11.9,11.3,0.6,9.6,10.3,-0.7,38.0,41.2,-3.2,14.4,15.0,-0.6,12.8,10.8,2.0,11.2,8.7,2.5,44.0,41.5,2.5
Boston Celtics,"Nader, Abdel",19.0,43,-24.0,15.0,33,-18.0,4.0,10,-6.0,0.789,0.767,0.022,15.7,1.3,14.4,14.8,14.9,-0.1,12.9,11.3,1.6,4.5,10.6,-6.1,36.0,40.7,-4.7,20.0,14.4,5.6,9.7,11.4,-1.7,10.6,9.2,1.4,43.1,42.0,1.1
Boston Celtics,"Ojeleye, Semi",38.0,43,-5.0,29.0,33,-4.0,9.0,10,-1.0,0.763,0.767,-0.004,4.8,1.5,3.3,14.9,14.9,0.0,11.0,11.6,-0.6,7.2,11.1,-3.9,37.0,41.5,-4.5,15.6,14.6,1.0,12.0,11.0,1.0,9.0,9.4,-0.4,48.6,40.0,8.6
Boston Celtics,"Rozier, Terry",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,2.5,2.2,0.3,13.6,16.0,-2.4,11.4,11.5,-0.1,9.1,11.0,-1.9,37.5,43.1,-5.6,14.5,15.1,-0.6,12.4,10.2,2.2,8.5,10.0,-1.5,42.3,41.9,0.4
Boston Celtics,"Smart, Marcus",41.0,43,-2.0,31.0,33,-2.0,10.0,10,0.0,0.756,0.767,-0.011,1.9,3.0,-1.1,15.4,14.1,1.3,11.3,11.7,-0.4,9.9,10.4,-0.5,41.2,39.1,2.1,15.4,14.0,1.4,11.2,11.4,-0.2,9.3,9.2,0.1,41.5,43.1,-1.6
Boston Celtics,"Tatum, Jayson",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,1.8,3.3,-1.5,15.4,13.9,1.5,11.0,12.3,-1.3,10.9,8.7,2.2,41.9,37.6,4.3,14.9,14.8,0.1,11.2,11.5,-0.3,9.3,9.3,0.0,41.6,43.0,-1.4
Boston Celtics,"Theis, Daniel",41.0,43,-2.0,32.0,33,-1.0,9.0,10,-1.0,0.78,0.767,0.013,4.6,1.6,3.0,13.3,15.4,-2.1,12.2,11.2,1.0,8.8,10.6,-1.8,37.1,41.5,-4.4,16.6,14.2,2.4,11.6,11.2,0.4,11.3,8.6,2.7,40.3,42.8,-2.5
Boston Celtics,"Yabusele, Guerschon",17.0,43,-26.0,13.0,33,-20.0,4.0,10,-6.0,0.765,0.767,-0.002,29.8,1.2,28.6,13.2,15.0,-1.8,12.0,11.4,0.6,12.6,10.0,2.6,22.8,41.1,-18.3,15.0,14.8,0.2,11.4,11.3,0.1,6.6,9.4,-2.8,44.3,42.0,2.3
Cleveland Cavaliers,"Calderon, Jose",30.0,40,-10.0,18.0,26,-8.0,12.0,14,-2.0,0.6,0.65,-0.05,4.7,1.6,3.1,16.3,17.4,-1.1,10.4,12.0,-1.6,9.7,10.1,-0.4,37.1,44.9,-7.8,16.2,16.3,-0.1,12.3,12.7,-0.4,11.7,10.6,1.1,48.4,45.4,3.0
Cleveland Cavaliers,"Crowder, Jae",40.0,40,0.0,26.0,26,0.0,14.0,14,0.0,0.65,0.65,0.0,2.3,2.6,-0.3,18.4,15.5,2.9,12.3,10.8,1.5,10.8,8.9,1.9,42.7,42.9,-0.2,16.5,16.0,0.5,12.7,12.6,0.1,11.2,10.5,0.7,48.0,44.1,3.9
Cleveland Cavaliers,"Frye, Channing",34.0,40,-6.0,23.0,26,-3.0,11.0,14,-3.0,0.676,0.65,0.026,5.9,1.5,4.4,16.3,17.3,-1.0,10.9,11.7,-0.8,10.3,9.9,0.4,45.5,42.1,3.4,14.6,16.7,-2.1,13.1,12.5,0.6,7.6,11.7,-4.1,43.1,47.0,-3.9
Cleveland Cavaliers,"Green, Jeff",40.0,40,0.0,26.0,26,0.0,14.0,14,0.0,0.65,0.65,0.0,2.6,2.3,0.3,17.2,16.9,0.3,9.4,13.5,-4.1,9.3,10.6,-1.3,44.7,41.1,3.6,14.1,18.2,-4.1,13.4,12.0,1.4,9.0,12.5,-3.5,44.1,48.0,-3.9
Cleveland Cavaliers,"Holland, John",4.0,40,-36.0,4.0,26,-22.0,0.0,14,-14.0,1.0,0.65,0.35,167.0,1.2,165.8,9.4,17.1,-7.7,12.5,11.6,0.9,9.4,10.0,-0.6,37.6,42.8,-5.2,31.4,16.1,15.3,18.8,12.6,6.2,6.3,10.9,-4.6,56.5,46.1,10.4
Cleveland Cavaliers,"James, LeBron",40.0,40,0.0,26.0,26,0.0,14.0,14,0.0,0.65,0.65,0.0,1.6,5.0,-3.4,17.9,14.6,3.3,11.7,11.3,0.4,10.4,8.4,2.0,43.2,41.4,1.8,16.5,15.4,1.1,12.7,12.4,0.3,11.7,8.2,3.5,47.6,41.4,6.2
Cleveland Cavaliers,"Korver, Kyle",40.0,40,0.0,26.0,26,0.0,14.0,14,0.0,0.65,0.65,0.0,2.5,2.3,0.2,16.9,17.2,-0.3,10.0,12.9,-2.9,9.6,10.3,-0.7,45.1,40.8,4.3,13.8,18.5,-4.7,12.0,13.2,-1.2,8.7,12.8,-4.1,41.5,50.3,-8.8
Cleveland Cavaliers,"Love, Kevin",39.0,40,-1.0,25.0,26,-1.0,14.0,14,0.0,0.641,0.65,-0.009,2.1,2.9,-0.8,17.9,16.0,1.9,12.7,9.9,2.8,10.2,9.6,0.6,42.0,43.9,-1.9,17.6,14.4,3.2,12.2,13.2,-1.0,12.5,8.6,3.9,48.6,42.6,6.0
