RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Vince Carter, SG",SAC,26,15.4,-1.35,1.15,-0.20,0.73
2,"Jamal Crawford, SG",MIN,46,18.7,-0.07,-3.82,-3.89,-0.40
3,"Manu Ginobili, SG",SA,37,20.5,0.39,-0.61,-0.22,1.38
4,"Dirk Nowitzki, PF",DAL,45,25.1,1.82,0.29,2.11,3.66
5,"Jason Terry, SG",MIL,15,9.7,-1.98,-0.20,-2.18,0.08
6,"Tyson Chandler, C",PHX,34,25.6,-2.02,2.17,0.15,1.82
7,"Pau Gasol, C",SA,44,25.0,-0.37,2.59,2.22,3.52
8,"Richard Jefferson, SF",DEN,14,8.4,-2.16,0.37,-1.79,0.09
9,"Joe Johnson, SG",UTAH,23,22.0,-3.16,-0.50,-3.66,-0.15
10,"Tony Parker, PG",SA,20,21.9,-1.55,-0.49,-2.04,0.26
11,"Zach Randolph, PF",SAC,39,25.2,-0.66,-1.31,-1.97,0.69
12,"Nene Hilario, C",HOU,27,14.9,-0.35,2.26,1.91,1.37
13,"LeBron James, SF",CLE,43,36.9,5.19,-0.31,4.88,7.88
14,"Carmelo Anthony, PF",OKC,44,32.7,0.87,-0.37,0.50,3.13
15,"Nick Collison, PF",OKC,8,5.5,-1.37,1.82,0.45,0.10
16,"Dwyane Wade, SG",CLE,39,23.5,-0.77,0.56,-0.21,1.68
17,"Kyle Korver, SG",CLE,43,22.2,2.23,-0.77,1.46,2.75
18,"Zaza Pachulia, C",GS,36,14.5,-0.39,2.74,2.35,1.89
19,"David West, PF",GS,44,13.3,0.11,3.85,3.96,2.48
20,"Udonis Haslem, PF",MIA,8,5.6,-1.75,1.39,-0.36,0.07
21,"Tony Allen, SG",NO,22,12.4,-2.00,0.41,-1.59,0.28
22,"Devin Harris, PG",DAL,39,18.6,0.55,0.49,1.04,1.86
23,"Dwight Howard, C",CHA,43,30.3,-2.08,2.21,0.13,2.57
24,"Andre Iguodala, SF",GS,39,25.9,-1.83,1.01,-0.82,1.48
25,"Al Jefferson, C",IND,17,13.9,-1.48,1.03,-0.45,0.37
26,"Shaun Livingston, PG",GS,39,15.8,-0.71,0.10,-0.61,0.97
27,"Trevor Ariza, SF",HOU,40,36.2,2.04,0.22,2.26,4.97
28,"Luol Deng, SF",LAL,1,13.0,-1.68,0.42,-1.26,0.02
29,"Jameer Nelson, PG",NO,38,21.7,-1.46,-2.04,-3.50,-0.19
30,"JR Smith, SG",CLE,42,29.9,-0.50,-1.43,-1.93,0.93
31,"Damien Wilkins, SG",IND,19,8.0,-1.79,0.06,-1.73,0.11
32,"Andrew Bogut, C",LAL,24,9.0,-2.18,2.31,0.13,0.47
33,"Raymond Felton, PG",OKC,45,17.1,-0.57,-0.75,-1.32,0.82
34,"Channing Frye, PF",CLE,36,11.4,-0.10,0.98,0.88,1.07
35,"Marcin Gortat, C",WSH,45,27.2,-2.11,1.78,-0.33,2.11
36,"Gerald Green, SG",HOU,10,26.7,0.16,-0.77,-0.61,0.39
37,"Ersan Ilyasova, PF",ATL,33,26.0,0.37,-0.02,0.35,1.76
38,"Jarrett Jack, PG",NY,43,26.8,-0.26,-0.44,-0.70,1.71
39,"Amir Johnson, PF",PHI,37,15.5,-1.95,1.47,-0.48,1.00
40,"Ian Mahinmi, C",WSH,43,14.6,-1.18,0.75,-0.43,1.04
41,"CJ Miles, SF",TOR,36,18.6,0.77,-1.10,-0.33,1.12
42,"Chris Paul, PG",HOU,25,31.9,3.92,1.01,4.93,3.97
43,"Marvin Williams, PF",CHA,43,25.8,1.28,0.22,1.50,3.12
44,"Lou Williams, SG",LAC,43,31.9,4.02,-3.77,0.25,2.87
45,"Jose Calderon, PG",CLE,33,17.4,-0.27,0.15,-0.12,1.07
46,"LaMarcus Aldridge, PF",SA,44,33.8,1.42,0.28,1.70,4.26
47,"Rudy Gay, SF",SA,34,22.7,-0.44,0.94,0.50,1.76
48,"Kyle Lowry, PG",TOR,40,32.9,3.55,0.45,4.00,5.84
49,"Paul Millsap, PF",DEN,16,29.7,-1.08,1.75,0.67,1.17
50,"JJ Redick, SG",PHI,36,32.6,2.03,-1.95,0.08,2.39
51,"Rajon Rondo, PG",NO,30,25.0,-0.38,-1.85,-2.23,0.41
52,"Thabo Sefolosha, SF",UTAH,38,21.2,0.25,2.33,2.58,2.90
53,"PJ Tucker, SF",HOU,42,27.0,-0.78,0.79,0.01,2.25
54,"J.J. Barea, PG",DAL,44,23.0,1.48,-1.98,-0.50,1.66
